englishTitle;title;actionType;type;level;traits;traditions;castTime;muse;trigger;range;objectives;area;defense;duration;description;heightenings
ENERGY ABSORPTION;ABSORCIÓN DE ENERGÍA;reaction;FOCO;4;POCO-COMÚN FOCO MAGO;;;;Un efecto te infligiría daño por ácido, electricidad, frío o fuego.;;;;;;Estás acostumbrado a mitigar el daño hecho por las bombas, las máquinas de asedio y la artillería mágica. Obtienes resistencia 15 a elegir entre daño por ácido, electricidad, frío o fuego por parte del efecto desencadenante. La resistencia sólo se aplica al daño inicial del efecto desencadenante.;Potenciado (+1) La resistencia se incrementa en 5.
HASTE;ACELERAR;two-actions;CONJURO;3;CONCENTRAR MANIPULAR;arcana, ocultista, primigenia;;;;30 pies (9 m); 1 criatura;;;1 minuto;La magia potencia al objetivo para que actúe más deprisa. Obtiene el estado acelerado y sólo puede utilizar la acción adicional de cada asalto para acciones de Golpe y de Zancada.;Potenciado (7.º) Puedes designar como objetivo hasta 6 criaturas.
CAPTIVATING ADORATION;ADORACIÓN CAUTIVADORA;two-actions;FOCO;4;POCO-COMÚN AURA CLÉRIGO CONCENTRAR EMOCIÓN FOCO MANIPULAR;;;;;;;emanación de 15 pies (4,5 m);Voluntad; 1 minuto;"MENTAL VISUAL
Te envuelves intensamente cautivador, y las criaturas se distraen contigo si permanecen en el área. Puedes excluir de los efectos a cualquier criatura. Una criatura tiene que hacer una tirada de salvación de Voluntad si está en el aura cuando Lanzas el conjuro o cuando entra en el aura por vez primera. Si una criatura sale y vuelve a entrar, utiliza el resultado de su salvación original.
Éxito crítico La criatura no resulta afectada y queda temporalmente inmune durante 1 hora.
Éxito La criatura queda fascinada por ti para su siguiente acción, y después queda temporalmente inmune durante 1 hora.
Fallo La criatura queda fascinada por ti.
Fallo crítico La criatura queda fascinada por ti y su actitud hacia ti mejora en un paso.";Potenciado (+1) Incrementa en 15 pies (4,5 m) el tamaño de la emanación.
ENLARGE;AGRANDAR;two-actions;CONJURO;2;CONCENTRAR MANIPULAR POLIMORFÍA;arcana, primigenia;;;;30 pies (9 m); 1 criatura voluntaria;;;5 minutos;"Reforzado por el poder mágico, el objetivo crece hasta tamaño Grande.
Su equipo crece con él, pero vuelve a tamaño natural si se le quita. La criatura es torpe 1. Su alcance se incrementa en 5 pies (1,5 m), o en 10 pies (3 m) si empieza en tamaño Menudo, y obtiene un bonificador +2 por estatus al daño cuerpo a cuerpo. Este conjuro no surte efecto en una criatura Grande o mayor.";"Potenciado (4.º) En su lugar, la criatura crece hasta tamaño Enorme. El bonificador por estatus al daño cuerpo a cuerpo es +4 y el alcance de la criatura se incrementa en 10 pies (3 m), o en 15 pies (4,5 m) si empieza en tamaño Menudo. Este conjuro no surte efecto en una criatura Enorme o mayor.
Potenciado (6.º) Elige entre la versión de 2.º o de 4.º rango de este conjuro y aplica sus efectos hasta a 10 criaturas voluntarias."
ENLARGE COMPANION;AGRANDAR COMPAÑERO;two-actions;FOCO;2;POCO-COMÚN CONCENTRAR EXPLORADOR FOCO MANIPULAR POLIMORFÍA;;;;;30 pies (9 m); tu compañero animal;;;1 minuto;Tu compañero animal se hace mucho más grande, quedando por encima de sus enemigos en la batalla. Tu compañero animal pasa al tamaño Grande, obteniendo los efectos de un conjuro de agrandar de 2.º rango.;Potenciado (4.º) Tu compañero animal pasa al tamaño Enorme, obteniendo los efectos de un conjuro de agrandar de 4.º rango.
DOWNPOUR;AGUACERO;two-actions;FOCO;4;POCO-COMÚN AGUA CLÉRIGO CONCENTRAR FOCO MANIPULAR;;;;;120 pies (36 m);; explosión de 30 pies (9 m);;1 minuto;Llamas a una precipitación torrencial, que extingue las llamas no mágicas. Las criaturas en el área están ocultas y obtienen resistencia al fuego 10. Las criaturas en el exterior del área están ocultas de las del interior. Si una criatura con debilidad al agua acaba su turno en el área, el aguacero desencadena su debilidad.;Potenciado (+1) La resistencia al fuego se incrementa en 2.
ENVIROMENTAL ENDURANCE;AGUANTE AMBIENTAL;;CONJURO;2;CONCENTRAR MANIPULAR;arcana, divina, primigenia;10 minutos;;;toque; 1 criatura voluntaria.;;;1 minuto;Escudas al objetivo contra las temperaturas peligrosas. Elige entre frío o calor severos. El objetivo queda protegido de la temperatura que has elegido (pero no del frío o del calor extremos).;"Potenciado (3.º) El objetivo queda protegido del frío y del calor severos.
Potenciado (5.º) El objetivo queda protegido del frío severo, del calor severo, del frío extremo y del calor extremo."
SPIDER STING;AGUIJÓN DE ARAÑA;two-actions;CONJURO;1;CONCENTRAR MANIPULAR VENENO;arcana, primigenia;;;;toque; 1 criatura;;Fortaleza; máxima 4 asaltos;"Replicas mágicamente el aguijón venenoso de una araña. Infliges 1d4 daño perforante a la criatura tocada y la afliges con veneno de araña.
El objetivo tiene que llevar a cabo una salvación de Fortaleza.
Éxito crítico El objetivo no resulta afectado Éxito El objetivo sufre 1d4 daño por veneno.
Fallo El objetivo se ve afligido por veneno de araña etapa 1.
Fallo crítico El objetivo se ve afligido por veneno de araña etapa 2.
1d4 daño por veneno y debilitado 1 (1 asalto); Etapa 2 1d4 daño por veneno y debilitado 2 (1 asalto).";
NEEDLE OF VENGEANCE;AGUJA DE VENGANZA;one-action;FOCO;1;POCO-COMÚN BRUJO FOCO MALEFICIO MANIPULAR MENTAL;;;;;Lección venganza 30 pies (9 m); 1 enemigo;;Voluntad básica; mantenido hasta 1 minuto;Una aguja larga y dentada se clava en la psique del objetivo enemigo siempre que intenta atacar a una criatura por la que tu patrón tiene una consideración especial. Desígnate a ti mismo o a uno de tus aliados. El objetivo sufre 2 daño mental cada vez que utiliza una acción hostil contra la criatura designada, con una salvación básica de Voluntad.;Potenciado (+1) Incrementa en 2 el daño.
ALARM;ALARMA;;CONJURO;1;CONCENTRAR MANIPULAR;arcana, divina, ocultista, primigenia;10 minutos;;;toque;; explosión de 20 pies (6 m);;8 horas;Custodias una zona para que se te alerte cuando alguna criatura entra sin tu permiso. Cuando lanzas alarma, seleccionas una contraseña. Siempre que una criatura corporal Pequeña o más grande entra en el área del conjuro sin decir la contraseña, alarma te envía, o bien una alerta mental (en cuyo caso el conjuro obtiene el rasgo mental), o bien una alarma audible con el sonido y el volumen de una campanilla (en cuyo caso el conjuro obtiene el rasgo auditivo), a tu elección. Cualquiera de las dos opciones te despierta de forma automática y la campanilla permite a las demás criaturas del área hacer una prueba de Percepción CD 15 para despertarse. Una criatura consciente de la alarma debe tener éxito en una prueba de Sigilo contra la CD del conjuro o desencadenarlo al moverse al interior del área.;Potenciado (3.º) Puedes especificar un desencadenante sobre para qué tipo de criatura suena el conjuro alarma, tal y como se describe en Cómo fijar desencadenantes en la pág. 303.
